Sum: 183.87, Average: 183.87
Sum: 363.41, Average: 181.70499999999998
Sum: 537.03, Average: 179.01
Sum: 704.86, Average: 176.215
Sum: 879.24, Average: 175.848
Sum: 1050.62, Average: 175.10333333333332
Sum: 1221.72, Average: 174.53142857142853
Sum: 1391.11, Average: 173.88874999999996
Sum: 1565.37, Average: 173.92999999999995
Sum: 1737.24, Average: 173.724
Sum: 1900.88, Average: 172.8072727272727
Sum: 2067.39, Average: 172.28249999999994
Sum: 2224.78, Average: 171.136923076923
Sum: 2391.95, Average: 170.85357142857137
Sum: 2560.31, Average: 170.6873333333333
Sum: 2721.48, Average: 170.09249999999997
Sum: 2891.23, Average: 170.07235294117643
Sum: 3058.20, Average: 169.89999999999998
Sum: 3225.15, Average: 169.74473684210523
Sum: 3394.02, Average: 169.70099999999996
Sum: 3565.52, Average: 169.78666666666663
Sum: 3729.97, Average: 169.54409090909087
Sum: 3901.36, Average: 169.6243478260869
Sum: 4067.83, Average: 169.49291666666662
Sum: 4242.09, Average: 169.68359999999993
Sum: 4399.56, Average: 169.2138461538461
Sum: 4569.60, Average: 169.24444444444438
Sum: 4747.46, Average: 169.5521428571428
Sum: 4916.22, Average: 169.52482758620684
Sum: 5087.69, Average: 169.58966666666663
Sum: 5267.87, Average: 169.93129032258062
Sum: 5455.98, Average: 170.49937499999996
Sum: 5630.47, Average: 170.62030303030298
Sum: 5798.07, Average: 170.53147058823527
Sum: 5973.17, Average: 170.66199999999998
Sum: 6146.26, Average: 170.72944444444443
Sum: 6313.25, Average: 170.62837837837836
Sum: 6476.70, Average: 170.4394736842105
Sum: 6651.77, Average: 170.5582051282051
Sum: 6831.34, Average: 170.78349999999995
Sum: 7004.27, Average: 170.83585365853656
Sum: 7166.37, Average: 170.62785714285712
Sum: 7334.24, Average: 170.56372093023253
Sum: 7500.35, Average: 170.46249999999998
Sum: 7670.09, Average: 170.4464444444444
Sum: 7849.70, Average: 170.645652173913
Sum: 8019.03, Average: 170.61765957446804
Sum: 8186.16, Average: 170.54499999999996
Sum: 8358.59, Average: 170.58346938775506
Sum: 8515.49, Average: 170.30979999999997
Sum: 8682.34, Average: 170.2419607843137
Sum: 8859.12, Average: 170.3676923076923
Sum: 9027.99, Average: 170.33943396226414
Sum: 9200.08, Average: 170.37185185185186
Sum: 9363.27, Average: 170.24127272727273
Sum: 9533.95, Average: 170.24910714285716
Sum: 9699.75, Average: 170.17105263157896
Sum: 9867.24, Average: 170.1248275862069
Sum: 10039.60, Average: 170.1627118644068
Sum: 10214.74, Average: 170.24566666666666
Sum: 10382.95, Average: 170.2122950819672
Sum: 10554.93, Average: 170.24080645161288
Sum: 10723.99, Average: 170.22206349206346
Sum: 10896.26, Average: 170.25406249999997
Sum: 11061.88, Average: 170.18276923076922
Sum: 11221.50, Average: 170.02272727272728
Sum: 11397.06, Average: 170.10537313432835
Sum: 11564.39, Average: 170.0645588235294
Sum: 11738.60, Average: 170.1246376811594
Sum: 11899.55, Average: 169.9935714285714
Sum: 12070.58, Average: 170.0081690140845
Sum: 12247.26, Average: 170.10083333333333
Sum: 12416.47, Average: 170.0886301369863
Sum: 12581.88, Average: 170.0254054054054
Sum: 12756.97, Average: 170.09293333333332
Sum: 12930.48, Average: 170.1378947368421
Sum: 13099.80, Average: 170.12727272727273
Sum: 13261.28, Average: 170.01641025641024
Sum: 13424.12, Average: 169.92556962025316
Sum: 13596.65, Average: 169.958125
Sum: 13769.42, Average: 169.99283950617283
Sum: 13938.23, Average: 169.97841463414633
Sum: 14107.21, Average: 169.96638554216867
Sum: 14264.84, Average: 169.8195238095238
Sum: 14421.54, Average: 169.66517647058822
Sum: 14590.39, Average: 169.6556976744186
Sum: 14762.12, Average: 169.67954022988505
Sum: 14932.34, Average: 169.6856818181818
Sum: 15093.46, Average: 169.58943820224718
Sum: 15260.22, Average: 169.558
Sum: 15429.66, Average: 169.5567032967033
Sum: 15607.37, Average: 169.64532608695652
Sum: 15767.25, Average: 169.54032258064515
Sum: 15939.62, Average: 169.57042553191488
Sum: 16105.16, Average: 169.528
Sum: 16268.64, Average: 169.465
Sum: 16435.44, Average: 169.43752577319586
Sum: 16608.33, Average: 169.4727551020408
Sum: 16785.96, Average: 169.5551515151515
Sum: 16955.70, Average: 169.55700000000002
